,slate,gray,zinc,neutral,stone,red,orange,amber,yellow,lime,green,emerald,teal,cyan,sky,blue,indigo,violet,purple,fuchsia,pink,rose
50,#F8FAFC,#F9FAFB,#FAFAFA,#FAFAFA,#FAFAF9,#FEF2F2,#FFF7ED,#FFFBEB,#FEFCE8,#F7FEE7,#F0FDF4,#ECFDF5,#F0FDFA,#ECFEFF,#F0F9FF,#EFF6FF,#EEF2FF,#F5F3FF,#FAF5FF,#FDF4FF,#FDF2F8,#FFF1F2
100,#F1F5F9,#F3F4F6,#F4F4F5,#F5F5F5,#F5F5F4,#FEE2E2,#FFEDD5,#FEF3C7,#FEF9C3,#ECFCCB,#DCFCE7,#D1FAE5,#CCFBF1,#CFFAFE,#E0F2FE,#DBEAFE,#E0E7FF,#EDE9FE,#F3E8FF,#FAE8FF,#FCE7F3,#FFE4E6
200,#E2E8F0,#E5E7EB,#E4E4E7,#E5E5E5,#E7E5E4,#FECACA,#FED7AA,#FDE68A,#FEF08A,#D9F99D,#BBF7D0,#A7F3D0,#99F6E4,#A5F3FC,#BAE6FD,#BFDBFE,#C7D2FE,#DDD6FE,#E9D5FF,#F5D0FE,#FBCFE8,#FECDD3
300,#CBD5E1,#D1D5DB,#D4D4D8,#D4D4D4,#D6D3D1,#FCA5A5,#FDBA74,#FCD34D,#FDE047,#BEF264,#86EFAC,#6EE7B7,#5EEAD4,#67E8F9,#7DD3FC,#93C5FD,#A5B4FC,#C4B5FD,#D8B4FE,#F0ABFC,#F9A8D4,#FDA4AF
400,#94A3B8,#9CA3AF,#A1A1AA,#A3A3A3,#A8A29E,#F87171,#FB923C,#FBBF24,#FACC15,#A3E635,#4ADE80,#34D399,#2DD4BF,#22D3EE,#38BDF8,#60A5FA,#818CF8,#A78BFA,#C084FC,#E879F9,#F472B6,#FB7185
500,#64748B,#6B7280,#71717A,#737373,#78716C,#EF4444,#F97316,#F59E0B,#EAB308,#84CC16,#22C55E,#10B981,#14B8A6,#06B6D4,#0EA5E9,#3B82F6,#6366F1,#8B5CF6,#A855F7,#D946EF,#EC4899,#F43F5E
600,#475569,#4B5563,#52525B,#525252,#57534E,#DC2626,#EA580C,#D97706,#CA8A04,#65A30D,#16A34A,#059669,#0D9488,#0891B2,#0284C7,#2563EB,#4F46E5,#7C3AED,#9333EA,#C026D3,#DB2777,#E11D48
700,#334155,#374151,#3F3F46,#404040,#44403C,#B91C1C,#C2410C,#B45309,#A16207,#4D7C0F,#15803D,#047857,#0F766E,#0E7490,#0369A1,#1D4ED8,#4338CA,#6D28D9,#7E22CE,#A21CAF,#BE185D,#BE123C
800,#1E293B,#1F2937,#27272A,#262626,#292524,#991B1B,#9A3412,#92400E,#854D0E,#3F6212,#166534,#065F46,#115E59,#155E75,#075985,#1E40AF,#3730A3,#5B21B6,#6B21A8,#86198F,#9D174D,#9F1239
900,#0F172A,#111827,#18181B,#171717,#1C1917,#7F1D1D,#7C2D12,#78350F,#713F12,#365314,#14532D,#064E3B,#134E4A,#164E63,#0C4A6E,#1E3A8A,#312E81,#4C1D95,#581C87,#701A75,#831843,#881337
